Story Index,Title,Thumbnail URL,Local Thumbnail Path
1,Jan-Christian Dreesen: “Young players are the soul of Bayern Munich”,https://assets.bundesliga.com/contender/2026/4/imago1077553088.jpg?crop=0px%2C127px%2C5379px%2C3212px,assets/news_and_goals/top_stories/story_1.jpg
2,Edin Džeko ready for 2026 FIFA World Cup after helping Schalke to promotion,https://assets.bundesliga.com/contender/2026/4/imago1071551984.jpg?crop=427px%2C991px%2C6511px%2C3662px,assets/news_and_goals/top_stories/story_2.jpg
3,Union Berlin appoint Mauro Lustrinelli as head coach,https://assets.bundesliga.com/contender/2026/4/imago1077467159.jpg?crop=0px%2C405px%2C7794px%2C4384px,assets/news_and_goals/top_stories/story_3.jpg
4,Manuel Neuer makes Germany return for FIFA World Cup 2026 squad,https://assets.bundesliga.com/contender/2026/4/imago1046200438.jpg?crop=0px%2C166px%2C3200px%2C1800px,assets/news_and_goals/top_stories/story_4.jpg
5,"Bayern Munich midfield talent Tom Bischof talks about his DFB Cup hopes, winning the Bundesliga title and which teammate is the best at Uno",https://assets.bundesliga.com/contender/2026/4/2526_MD34_FCBKOE_SW_117.jpg?crop=0px%2C260px%2C5000px%2C2812px,assets/news_and_goals/top_stories/story_5.jpg
6,Bayern Munich's Josip Stanišić: 'Everyone is thinking about the next title',https://assets.bundesliga.com/contender/2026/4/imago1077679111.jpg?crop=0px%2C0px%2C6000px%2C3375px,assets/news_and_goals/top_stories/story_6.jpg
7,Freiburg's historic run ends in UEFA Europa League final defeat to Aston Villa,https://assets.bundesliga.com/contender/2026/4/imago1077689949.jpg?crop=0px%2C419px%2C4017px%2C2262px,assets/news_and_goals/top_stories/story_7.jpg
8,Julian Schuster reflects on 'painful' UEFA Europa League final loss to Aston Villa,https://assets.bundesliga.com/contender/2026/4/imago1077692094.jpg?crop=477px%2C260px%2C3237px%2C1823px,assets/news_and_goals/top_stories/story_8.jpg
9,"Manuel Neuer, Lennart Karl and who else could still make Julian Nagelsmann's Germany squad for the FIFA World Cup 2026?",https://assets.bundesliga.com/contender/2026/4/imago1070148929.jpg?crop=0px%2C105px%2C4000px%2C2250px,assets/news_and_goals/top_stories/story_9.jpg
10,How do Bayern Munich and VfB Stuttgart stack up ahead of the DFB Cup final?,https://assets.bundesliga.com/contender/2025/7/2526_SUC_VFBFCB_CKB_104.jpg?crop=0px%2C93px%2C6720px%2C3780px,assets/news_and_goals/top_stories/story_10.jpg
