Club Name,Club ID,Club Slug,Full Name,Founded,Primary Color (Hex),Secondary Color (Hex),Stadium Name,Stadium Capacity,Street,City,Directions,Phone,Fax,Website,Email,Club Logo URL,Club Logo Local Path
FC Bayern München,DFL-CLU-00000G,fc-bayern-muenchen,FC Bayern München AG,1900,#ED0037,#FFFFFF,Allianz Arena,75024,Säbener Straße 51-57,81547 München,"https://www.google.com/maps/place/Allianz+Arena/@48.2187997,11.6225239,17z/data=!3m1!4b1!4m5!3m4!1s0x479e7385128a251f:0xed4d60428e32c423!8m2!3d48.2187997!4d11.6247072",089-699310,089-644165,www.fcbayern.com,service@fcbayern.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000G.svg,assets/logos/fc-bayern-muenchen.svg
Bayer 04 Leverkusen,DFL-CLU-00000B,bayer-04-leverkusen,Bayer 04 Leverkusen Fußball GmbH,1904,#FF0000,#000000,BayArena,30210,Bismarckstraße 122-124,51373 Leverkusen,"https://www.google.com/maps/place/BayArena/@51.0382091,7.0000733,17z/data=!3m1!4b1!4m5!3m4!1s0x47bf2ebbe66139e5:0xbce75509e2f3a288!8m2!3d51.0382091!4d7.0022566",0214-50001904,0214-8660512,www.bayer04.de,info@bayer04.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000B.svg,assets/logos/bayer-04-leverkusen.svg
Eintracht Frankfurt,DFL-CLU-00000F,eintracht-frankfurt,Eintracht Frankfurt Fußball AG,1899,#000000,#FFFFFF,Deutsche Bank Park,58000,Im Herzen von Europa 1,60528 Frankfurt am Main,"https://www.google.com/maps/place/Commerzbank-Arena/@50.0685807,8.6432833,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd0b82374086e1:0x72efad9b38279c0a!8m2!3d50.0685807!4d8.645472",0800-7431899,069-95503268,www.eintracht.de,info@eintrachtfrankfurt.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000F.svg,assets/logos/eintracht-frankfurt.svg
Borussia Dortmund,DFL-CLU-000007,borussia-dortmund,Borussia Dortmund GmbH & Co. KGaA,1909,#FFD900,#000000,SIGNAL IDUNA PARK,81365,Rheinlanddamm 207-209,44137 Dortmund,"https://www.google.com/maps/place/Signal+Iduna+Park/@51.4925888,7.4496741,17z/data=!3m1!4b1!4m5!3m4!1s0x47b919d39230d60f:0x8fd9c195ad02eddf!8m2!3d51.4925888!4d7.4518574",0231-90200,0231-90204105,www.bvb.de,service@bvb.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-000007.svg,assets/logos/borussia-dortmund.svg
Sport-Club Freiburg,DFL-CLU-00000A,sport-club-freiburg,Sport-Club Freiburg e.V.,1904,#E4002B,#000000,Europa-Park Stadion,34700,Achim-Stocker-Str. 1,79108 Freiburg,https://maps.app.goo.gl/TVAz2Y5MMpke8mBt5,0761-385510,0761-38551150,www.scfreiburg.com,scf@scfreiburg.com,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000A.svg,assets/logos/sport-club-freiburg.svg
1. FSV Mainz 05,DFL-CLU-000006,1-fsv-mainz-05,1. FSV Mainz 05 e.V.,1905,#E30613,#FAFAFA,MEWA ARENA,33305,Isaac-Fulda-Allee 5,55124 Mainz,"https://www.google.com/maps/place/OPEL+ARENA/@49.9839442,8.2221929,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd96ee5c8e8509:0x5dd0481e90dbc1fd!8m2!3d49.9839442!4d8.2243816",06131-375500,06131-3755033,www.mainz05.de,info@mainz05.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-000006.svg,assets/logos/1-fsv-mainz-05.svg
RB Leipzig,DFL-CLU-000017,rb-leipzig,RasenBallsport Leipzig GmbH,2009,#FFFFFF,#D30741,Red Bull Arena,42558,Cottaweg 3,04177 Leipzig,"https://www.google.com/maps/place/Red+Bull+Arena/@51.3459852,12.3460675,17z/data=!3m1!4b1!4m5!3m4!1s0x47a6f794c5fbaa91:0x356640372e740fe!8m2!3d51.3459852!4d12.3482562",0341-124797777,0341-124797100,www.rbleipzig.com,service.rbleipzig@redbulls.com,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-000017.svg,assets/logos/rb-leipzig.svg
SV Werder Bremen,DFL-CLU-00000E,sv-werder-bremen,SV Werder Bremen GmbH & Co. KG aA,1899,#008149,#FFFFFF,Weserstadion,42100,Franz-Böhmert-Straße 1c,28205 Bremen,"https://www.google.com/maps/place/Weser+Stadium/@53.0664328,8.8354164,17z/data=!3m1!4b1!4m8!1m2!2m1!1sweserstadion!3m4!1s0x47b127f7637d9395:0xabe8db3758157302!8m2!3d53.0664328!4d8.8376051",0421-434590,0421-493555,www.werder.de,info@werder.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000E.svg,assets/logos/sv-werder-bremen.svg
VfB Stuttgart,DFL-CLU-00000D,vfb-stuttgart,VfB Stuttgart 1893 AG,1893,#FFFFFF,#D30029,MHPArena,60449,Mercedesstraße 109,70372 Stuttgart,https://goo.gl/maps/ojTkuLXTier2X2Ed7,0711-99331893,0711-5500788111,www.vfb.de,service@vfb-stuttgart.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000D.svg,assets/logos/vfb-stuttgart.svg
Borussia Mönchengladbach,DFL-CLU-000004,borussia-moenchengladbach,Borussia VfL 1900 Mönchengladbach GmbH,1900,#000000,#FFFFFF,BORUSSIA-PARK,54022,Hennes-Weisweiler-Allee 1,41179 Mönchengladbach,"https://www.google.com/maps/place/BORUSSIA-PARK/@51.1745698,6.3833222,17z/data=!3m2!4b1!5s0x47b8ab32e15bbc7f:0xb9c9d1148cf1ec55!4m5!3m4!1s0x47b8ab329f7f7afb:0xbc2d05dc3af26862!8m2!3d51.1745698!4d6.3855055",01806-181900,02161-92931309,www.borussia.de,info@borussia.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-000004.svg,assets/logos/borussia-moenchengladbach.svg
VfL Wolfsburg,DFL-CLU-000003,vfl-wolfsburg,VfL Wolfsburg-Fußball GmbH,1945,#41A639,#FFFFFF,Volkswagen Arena,30000,In den Allerwiesen 1,38446 Wolfsburg,"https://www.google.com/maps/place/Volkswagen+Arena/@52.4326693,10.8016967,17z/data=!3m1!4b1!4m5!3m4!1s0x47af93c8d01e69e5:0xe2465df60ba210ae!8m2!3d52.4326693!4d10.8038854",05361-8903903,05361-8903150,www.vfl-wolfsburg.de,service@vfl-wolfsburg.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-000003.svg,assets/logos/vfl-wolfsburg.svg
FC Augsburg,DFL-CLU-000010,fc-augsburg,FC Augsburg 1907 GmbH & Co. KGaA,1907,#D80E16,#00462D,WWK ARENA,30660,Bürgermeister-Ulrich-Straße 90,86199 Augsburg,"https://www.google.com/maps/place/Augsburg+Arena/@48.3231683,10.883847,17z/data=!3m1!4b1!4m5!3m4!1s0x479ea27fd82b845b:0x67bb3264c3fa9af5!8m2!3d48.3231683!4d10.8860303",0821-650400,0821-65040589,www.fcaugsburg.de,info@fcaugsburg.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-000010.svg,assets/logos/fc-augsburg.svg
1. FC Union Berlin,DFL-CLU-00000V,1-fc-union-berlin,1. FC Union Berlin e.V.,1966,#E30613,#FFFFFF,An der Alten Försterei,22012,An der Wuhlheide 263,12555 Berlin,"https://www.google.com/maps/place/Stadion+An+der+Alten+F%C3%B6rsterei/@52.4578269,13.5659694,17z/data=!3m1!4b1!4m5!3m4!1s0x47a8485dbdf1a76f:0x23fad9e813ca47f8!8m2!3d52.4578269!4d13.5681581",030-656688100,030-65668899,www.fc-union-berlin.de,verein@fc-union-berlin.de,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000V.svg,assets/logos/1-fc-union-berlin.svg
FC St. Pauli,DFL-CLU-00000H,fc-st-pauli,FC St. Pauli von 1910 e.V.,1910,#604734,#FFFFFF,Millerntor-Stadion,29546,Harald-Stender-Platz 1,20359 Hamburg,"https://www.google.com/maps/place/Millerntor-Stadion/@53.5545585,9.9655595,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f6cbedab441:0x6678f70133d32916!8m2!3d53.5545585!4d9.9677482",040-3178740,040-31787429,www.fcstpauli.com,info@fcstpauli.com,https://assets.bundesliga.com/clublogos/DFL-SEA-0001K9/DFL-CLU-00000H.svg,assets/logos/fc-st-pauli.svg
