Matchday,Planned Kickoff,Actual Kickoff,Home Team,Away Team,Home Team Code,Away Team Code,Home Score Fulltime,Away Score Fulltime,Home Score Halftime,Away Score Halftime,Match Status,Match ID
1,2025-08-22T18:30:00+0000,2025-08-22T18:31:27+0000,FC Bayern München,RB Leipzig,FCB,RBL,6,0,3,0,FINAL_WHISTLE,DFL-MAT-J041U6
1,2025-08-23T13:30:00+0000,2025-08-23T13:30:01+0000,Bayer 04 Leverkusen,TSG Hoffenheim,B04,TSG,1,2,1,1,FINAL_WHISTLE,DFL-MAT-J041U7
1,2025-08-23T13:30:00+0000,2025-08-23T13:30:02+0000,Eintracht Frankfurt,SV Werder Bremen,SGE,SVW,4,1,2,0,FINAL_WHISTLE,DFL-MAT-J041U8
1,2025-08-23T13:30:00+0000,2025-08-23T13:30:02+0000,Sport-Club Freiburg,FC Augsburg,SCF,FCA,1,3,0,3,FINAL_WHISTLE,DFL-MAT-J041U9
1,2025-08-23T13:30:00+0000,2025-08-23T13:30:11+0000,1. FC Union Berlin,VfB Stuttgart,FCU,VFB,2,1,2,0,FINAL_WHISTLE,DFL-MAT-J041UC
1,2025-08-23T13:30:00+0000,2025-08-23T13:30:09+0000,1. FC Heidenheim 1846,VfL Wolfsburg,FCH,WOB,1,3,1,1,FINAL_WHISTLE,DFL-MAT-J041UE
1,2025-08-23T16:30:00+0000,2025-08-23T16:30:07+0000,FC St. Pauli,Borussia Dortmund,STP,BVB,3,3,0,1,FINAL_WHISTLE,DFL-MAT-J041UD
1,2025-08-24T13:30:00+0000,2025-08-24T13:29:59+0000,1. FSV Mainz 05,1. FC Köln,M05,KOE,0,1,0,0,FINAL_WHISTLE,DFL-MAT-J041UA
1,2025-08-24T15:30:00+0000,2025-08-24T15:30:19+0000,Borussia Mönchengladbach,Hamburger SV,BMG,HSV,0,0,0,0,FINAL_WHISTLE,DFL-MAT-J041UB
2,2025-08-29T18:30:00+0000,2025-08-29T18:30:00+0000,Hamburger SV,FC St. Pauli,HSV,STP,0,2,0,1,FINAL_WHISTLE,DFL-MAT-J041UN
2,2025-08-30T13:30:00+0000,2025-08-30T13:30:02+0000,RB Leipzig,1. FC Heidenheim 1846,RBL,FCH,2,0,0,0,FINAL_WHISTLE,DFL-MAT-J041UG
